year,mergecode,lowincome
21,7320-80290,98.0
21,7320-7322,98.0
21,7320-80289,98.0
21,90199-90200,81.0
21,90199-90770,74.0
21,90878-911531,82.0
21,90878-1000119,78.0
21,90878-1000118,51.0
21,90878-92197,87.0
21,79961-79094,66.0
21,92768-92769,88.0
21,7355-7360,36.0
21,7355-7356,58.0
21,4325-5496,93.0
21,79437-79438,69.0
21,79437-88180,65.0
21,80381-8327,98.0
21,4289-5454,59.0
21,4289-932049,27.0
21,4289-79799,44.0
21,4289-78926,22.0
21,4289-87903,20.0
21,4249-5187,86.0
21,4409-5831,75.0
21,4409-6292,66.0
21,4280-1000261,88.0
21,4280-5381,65.0
21,4280-5384,89.0
21,4280-6030,94.0
21,4280-5385,87.0
21,4280-5386,91.0
21,4280-1000259,83.0
21,4280-5387,92.0
21,4280-5388,94.0
21,4280-5383,94.0
21,4280-1000041,91.0
21,4280-5391,94.0
21,4280-5390,94.0
21,4280-79203,89.0
21,4280-1000042,98.0
21,4280-5392,93.0
21,79969-79970,69.0
21,4418-5859,76.0
21,4418-84336,94.0
21,80995-80996,84.0
21,79883-6346,83.0
21,79874-78813,87.0
21,79872-78901,51.0
21,79873-78900,71.0
21,79875-78817,76.0
21,80989-80990,90.0
21,88334-88335,87.0
21,79877-6347,78.0
21,79879-6348,98.0
21,9655-80313,90.0
21,4348-242454,35.0
21,4348-92348,51.0
21,4348-92885,39.0
21,4348-91173,41.0
21,4406-6055,85.0
21,4406-5805,98.0
21,4406-5808,24.0
21,4406-5802,24.0
21,4406-5799,41.0
21,4406-5796,98.0
21,4406-5794,98.0
21,4406-5795,98.0
21,4406-79378,15.0
21,4406-5797,98.0
21,4406-5804,79.0
21,4406-5806,32.0
21,4406-5798,58.0
21,4406-5792,53.0
21,4406-5800,41.0
21,4406-79282,13.0
21,4406-5807,18.0
21,4406-5803,41.0
21,4406-5801,93.0
21,4406-12976,14.0
21,4406-5793,17.0
21,4506-6188,81.0
21,4443-5925,44.0
21,4443-5923,63.0
21,4443-5922,66.0
21,4443-5920,72.0
21,4443-79631,65.0
21,79426-79432,98.0
21,79947-79950,67.0
21,79947-81187,61.0
21,79947-91805,82.0
21,79812-79813,37.0
21,85749-85750,11.0
21,6393-80462,72.0
21,6393-6396,74.0
21,4274-5354,74.0
21,4187-4797,98.0
21,4471-6101,80.0
21,4471-6103,75.0
21,4471-6102,77.0
21,80380-92289,98.0
21,89949-92326,60.0
21,89949-92248,79.0
21,89949-90274,96.0
21,89949-70692,88.0
21,89949-90271,63.0
21,89949-91304,53.0
21,4272-91985,87.0
21,4272-87619,66.0
21,4272-90028,48.0
21,4272-79670,60.0
21,4272-79792,53.0
21,4272-5348,87.0
21,4272-5349,92.0
21,4272-5347,94.0
21,4272-80181,70.0
21,4272-78924,62.0
21,4508-6192,98.0
21,4412-90822,98.0
21,4412-90821,98.0
21,4412-5847,98.0
21,4412-5846,98.0
21,4412-948673,98.0
21,4412-5844,98.0
21,4468-6088,49.0
21,4468-6089,55.0
21,79204-10729,39.0
21,4294-10730,39.0
21,4268-81141,98.0
21,4268-5320,98.0
21,4268-5321,84.0
21,4268-92301,93.0
21,4268-5319,98.0
21,549803-139682,57.0
21,4481-6116,64.0
21,79983-79507,58.0
21,79226-4799,35.0
21,79226-4794,50.0
21,79226-4793,50.0
21,79226-85879,52.0
21,4515-6203,80.0
21,4169-4754,63.0
21,4169-4752,74.0
21,4169-4753,68.0
21,9688-80426,98.0
21,91760-91761,98.0
21,4397-5645,60.0
21,4397-5648,49.0
21,4397-5647,56.0
21,4224-4896,60.0
21,4513-6201,83.0
21,4171-4758,80.0
21,4171-4759,76.0
21,4305-5470,75.0
21,4269-81110,76.0
21,4269-87473,98.0
21,4269-90341,55.0
21,4269-527220,46.0
21,4269-89572,75.0
21,4269-87471,55.0
21,4269-88398,55.0
21,4284-5424,60.0
21,4284-79376,31.0
21,4284-89573,57.0
21,4378-5587,98.0
21,4378-5583,70.0
21,4378-5584,98.0
21,4378-5585,98.0
21,4378-6048,80.0
21,4378-79655,98.0
21,90328-88290,72.0
21,90327-88289,36.0
21,90327-92235,45.0
21,79971-81102,92.0
21,79055-80463,45.0
21,79905-79906,87.0
21,4470-84659,83.0
21,4470-6098,65.0
21,4470-6100,49.0
21,4470-6099,64.0
21,4470-90137,53.0
21,4484-6119,96.0
21,79302-79303,98.0
21,79302-89565,98.0
21,4400-5652,91.0
21,4282-79283,91.0
21,4282-5414,98.0
21,4282-5398,92.0
21,4282-5405,67.0
21,4282-5406,86.0
21,4282-5411,84.0
